text,gt_policy_domain
"And provided significant support for treatment, to help people who've fallen prey to addiction.",Fabric of Society
The Bank of England will be renamed the Sterling Central Bank to reflect its responsibility to all countries which use sterling as a currency.,Political System
"creating lines of communication and access between those interested in developing a better society, e.g.better communication between NHS practitioners and patients,",Fabric of Society
"7) Open, accountable, corrupt-free government and society without fear of victimisation by state agencies.",Political System
"With our Pupil Premium, investing in children who might otherwise fall behind, we are finally tackling the scandalous gap in exam results between rich and poor, but we must do even more.",Welfare and Quality of Life
"We will work with Local Authorities to ensure they think for the long term, and use their powers to facilitate an affordable local housing market.",Economy
A re-elected Gillard Labor Government will modernise the health system and deliver better health services by providing Medicare rebates for online consultations across a range of specialties for the first time,Welfare and Quality of Life
"A new legally-binding target for Zero Carbon Britain by 2050, to be monitored and audited by the Climate Change Committee (CCC).",Welfare and Quality of Life
"We will ensure that a Welsh voice is heard in the development of UK migration policy, through meeting regularly with the Migration Advice Committee to discuss Welsh needs.",Fabric of Society
"We will toughen sentencing on homo, bi and transphobic hate crime and work closely with police authorities to ensure widespread recording.",Welfare and Quality of Life
"to improve promotion of RESPs and Canada Learning Bonds,",Welfare and Quality of Life
and ten percent by 2020.,Welfare and Quality of Life
"To improve the Welsh housing stock,",Economy
Penalties for using pre-payment meters for energy bills will be removed to help those on lower or fixed incomes.,Economy
We want to see further research into effective treatment of Gulf War veterans and the sharing of research developments and we will ensure that veterans receive appropriate and specialist mental health care.,Welfare and Quality of Life
"and, when necessary, palliative care.",Welfare and Quality of Life
in government the green Party  implemented a significant body of policy and legislation in the areas of climate change and environmental protection including:,Welfare and Quality of Life
We will allow the Adjudicator to use discretion when holding a supermarket responsible for the treatment of suppliers so they can help ensure farmers get a fair price.,Social Groups
We will reinstate a modernized and inclusive fair wages policy for federal procurement.,Economy
use of appropriate new technology,External Relations
"In the event that the initial referendum on establishing a citizens assembly was rejected, the Green Party in Government would then act to bring forward individual proposals for constitutional change to address public concern about specific aspects of the Constitution within 12 months.",Freedom and Democracy
"To ensure stability for supply-managed farmers through the implementation of our trade agreements, we've established long-term income and quota guarantee programs.",Social Groups
We have also returned the delivery of public health services to Local Authorities to ensure a more coordinated and localised approach.,Political System
"We will make it easier for people to travel to all parts of Wales - for work, for family and for leisure,",Economy
"Under Stephen Harper, investments in the Canadian Armed Forces have been erratic, promised increases in funding have been scaled back, and more than $10 billion of approved funding was left unspent.",Political System
"Aim to stimulate local economies, working with Local Enterprise Partnerships to improve their effectiveness and coordination.",Economy
"In order to incentivise audiences and improve access to arts events, we will initiate a subsidised money-off vouchers scheme.",Welfare and Quality of Life
unite the nation to act together to build a truly non-racial South Africa;,Freedom and Democracy
Our Conservative Government has been a proud supporter of youth and amateur sport in Canada.,Welfare and Quality of Life
require enhanced background checks for anyone seeking to purchase a handgun or other restricted firearm;,Fabric of Society
Ensure the continuation and expansion of the Garda Juvenile Diversion Programme.,Social Groups
"The Gillard Labor Government will assist families to save for their retirement by introducing a new low cost, simple superannuation product called \MySuper\""""",Social Groups
More doctors and nurses for Emergency Departments,Welfare and Quality of Life
The year 2014 is a crucial year in the history of South Africa.,Fabric of Society
"But policies that promote home ownership should be focused on newly built homes to prevent artificial pressure on prices, and should not discriminate on the basis of previous housing tenure.",Economy
A one-size-fits all national program – particularly one that imposes pre-determined costs on other orders of government – is impractical and unfair.,Political System
A COPE government is the one that can most be trusted to carry out such a programme.,Political System
We have pushed government departments to release unwanted sites for homes.,Welfare and Quality of Life
6) Development of the African economy.,External Relations
Finance will be made available to assist the fishing industry to build up a fleet of vessels and to process for export.,Social Groups
"Training for 6,000 more doctors, including doubling the number of GPs trained every year;",Welfare and Quality of Life
"When we make commitments to fight for minimum wages for all,",Economy
and work with the European Commission to extend it to further remote areas with high fuel costs.,Welfare and Quality of Life
The EFF Government will scrap the BHP Billiton unethical deal that gives away up to 11% of the national energy to a foreign multinational at below cost whilst the poor are made to pay more.,Economy
Our plan will deliver opportunity for everyone.,Economy
and aim to end female genital mutilation worldwide within a generation.,Freedom and Democracy
creating the world’s first Green Investment Bank;,Welfare and Quality of Life
The quality of people’s housing affects their health and well-being.,Welfare and Quality of Life
We will push for European Union approval for a reduction in petrol and diesel prices in rural Wales.,Economy
"Plaid Cymru will set up a Prevention Fund to encourage preventative, integrated working at local level,",Fabric of Society
"A re-elected Conservative Government will continue to balance what's best for our climate with the needs of our economy, recognizing the importance of both the environment and our economy to all Canadians.",Economy
"as well as funding support for eating disorders, and drug and alcohol treatment.",Welfare and Quality of Life
encourage energy conservation;,Welfare and Quality of Life
"We will give Councils greater power to act on unfit private housing, where the landlord has failed to do so.",Welfare and Quality of Life
"This means not interfering in the independent project review process,",Economy
"We will concentrate resources on crime prevention and on increasing conviction rates, rather than spending billions on building prisons.",Fabric of Society
f) The profits that the state will generate from ownership and control of Mines will gradually loosen the taxes on private individuals.,Political System
"We want schools to have flexibility and freedom, but we also believe that both parents and children need to know that the school curriculum will cover the essentials,",Welfare and Quality of Life
"We believe the path forward lies in creating stronger, more self-reliant communities through improvements in economic development, land management strategies, and education.",Social Groups
and provide individually tailored help with recovery.,Welfare and Quality of Life
Encourage GPs and other community clinicians to work in disadvantaged areas though our Patient Premium.,Welfare and Quality of Life
"New engagement with Africa, the Caribbean and Latin America – regions of the world where our interests are increasingly engaged, but which Australia has for too long neglected",External Relations
We will then prioritise 15 hours free childcare for all working parents with children aged between nine months and two years.,Welfare and Quality of Life
"Over four years from 1 January 2011 to the end of 2014, the Cleaner Car Rebate is expected to result in significant cuts in Australian fleet emissions as close to 200,000 pre-1995 vehicles are taken off the road and replaced with more fuel-efficient, environmentally friendly cars",Welfare and Quality of Life
Year 12 attainment and results,Welfare and Quality of Life
"and zero business rates for over 70,000 Welsh companies",Economy
reform and strengthen local government in the province.,Political System
- Protect people from the excessive cost of care.,Welfare and Quality of Life
Tax concessions will be provided for business sponsors.,Welfare and Quality of Life
incorporating the European Convention.,External Relations
and burden future generations with heavy debt.,Political System
"In 2013, the Combating Terrorism Act made it a criminal offence to leave or attempt to leave Canada for the purposes of participating in or facilitating terrorist activity.",Fabric of Society
and targeting student grants to low- and middle-income students.,Welfare and Quality of Life
"We don't have to choose, as some have suggested, between fighting the soldiers of ISIS and helping its victims.",External Relations
"To expand the economic opportunities for Métis, we will develop a Métis Economic Development Strategy in partnership with Métis communities and existing Métis financial institutions,",Economy
"We now have the highest university application rates ever, including from disadvantaged students.",Welfare and Quality of Life
and developing the EU Energy Union.,External Relations
"And, under our plan, single and widowed seniors will get new, major tax relief to help them live their later years in dignity and comfort.",Welfare and Quality of Life
"We will prioritize investments in affordable housing and seniors' facilities,",Welfare and Quality of Life
or without a full Environmental Impact Assessment.,Welfare and Quality of Life
"Give workers options at the pensionable age, where they can choose to accept a full pension; choose to work part time and receive a part pension; or continue to work full time with a special tax relief.",Welfare and Quality of Life
"poverty,",Economy
and small native bush reserves will be vested in the Forest and Bird/Acclimatisation Societies for better protection of rare species.,Welfare and Quality of Life
We will change company law to permit a German-style two-tier board structure to include employees.,Economy
- Provide more affordable rural housing.,Welfare and Quality of Life
"The ISIS reign of terror and the horrific civil war being fought in Syria have taken an immense toll on innocent civilians, creating a refugee crisis of historic proportions.",External Relations
Ambitious targets for all social and private rented homes to reach Energy Performance Certificate Band C by 2027.,Welfare and Quality of Life
Many of these ventures could be economic game-changers for the Canadians living in the surrounding regions.,Economy
Allow Ofsted to inspect both Local Authorities and academy chains.,Welfare and Quality of Life
and crack down on domestic violence,Fabric of Society
"Our sealing industry is of vital importance to many coastal communities, in particular among Canada's Aboriginal peoples.",Social Groups
Ratify the UN Convention on the Rights of People with Disabilities.,Social Groups
8) The EFF Government will impose strict laws and penalties against all forms of piracy.,Fabric of Society
Liberal Democrats believe British foreign policy and international aid should seek to advance human rights,Freedom and Democracy
"A Council Tax reduction of at least £100 for 10 years, when the resident’s home has an energy saving improvement of at least two bands.",Welfare and Quality of Life
"Our strategy will increase the use of locally and sustainably sourced, healthy and seasonal food, including in public institutions like schools and the NHS, implementing and expanding Defra’s Plan for Public Procurement.",Social Groups
and secured Rio+20 agreements on sustainable development,External Relations
"ensure that school principals are properly trained, rewarded and motivated to carry out their management responsibilities and be accordingly accountable;",Economy
"The national curriculum covers the subjects of English, maths, science and history and will be taught nation-wide from 2011",Welfare and Quality of Life
and create the space for the expression of contrary viewpoints and religious interpretations.,Fabric of Society
"and immediately welcoming 25,000 more refugees from Syria.",Social Groups
Set clear goals for earlier diagnosis and improved aftercare for conditions like cancer and heart disease.,Welfare and Quality of Life
This will protect the individual nations’ budgets from external shocks like the recent global drop in the price of oil.,Political System
"We will promote bilateral trade,",External Relations
The Green Party will work with coalition partners to ratify the following conventions and protocols without further delay:,External Relations
"We will also invest $200 million more each year to support innovation and the use of clean technologies in our natural resource sectors, including the forestry, fisheries, mining, energy, and agricultural sectors.",Welfare and Quality of Life
"Instead, citizens would be offered equivalent tax breaks to contribute to state-backed AVCs in addition to the normal state pension.",Welfare and Quality of Life
and underground coal gasification.,Welfare and Quality of Life
Establish a new National Leadership Institute to promote high-quality leadership and help the best leaders into the most challenging schools.,Welfare and Quality of Life
"This tax relief is worth up to $670 per person, per year – or $1,340 for a two-income household.",Welfare and Quality of Life
This will enable us to end the use of police cells for people facing a mental health crisis.,Welfare and Quality of Life
"The new center, located in Southwestern Ontario, will become a catalyst for high-quality, value-added investment and jobs in the manufacturing sector.",Economy
"That’s why we support the development of eHealth and Telemedicine, to increase quality and speed of patient care, and pushed for this in our 2013 Budget agreement.",Welfare and Quality of Life
"We will renew and expand our commitment to helping resettle more refugees,",Social Groups
We will not create a new national long-gun registry to replace the one that has been dismantled.,Freedom and Democracy
We've taken steps to harmonize Canadian regulations with those of our major trading partners.,Economy
"We understand the crucial role of healthy, functioning ecosystems and are committed to maintaining and restoring our biodiversity",Welfare and Quality of Life
and for children with disabilities.,Welfare and Quality of Life
"Starting in 2017, we will reduce the waiting period for benefits.",Welfare and Quality of Life
"and NATO partners to promote an active, rights-based foreign policy for our mutual defence.",External Relations
Canada is fundamentally a safe and peaceful nation.,Fabric of Society
"$250.5 million to make Medicare rebates available for online consultations across a range of specialties, providing around 495,000 services over four years to rural, remote and outer metropolitan areas",Welfare and Quality of Life
- Advance environmental objectives.,Welfare and Quality of Life
"In 2014, we helped 2.59 million children invest in their future, including 900,000 children from low- and middle-income families who received enhanced, targeted grants.",Welfare and Quality of Life
"support its neighbours and allies,",External Relations
and those whose homes are substantially adapted do not have their Housing Benefit reduced.,Welfare and Quality of Life
ensure that Canadians are not limited from lawful protests and advocacy;,Freedom and Democracy
We will enact the recommendations of the Truth and Reconciliation Commission.,Freedom and Democracy
"including the introduction of minimum wages in order to close the wage gap between the rich and the poor,",Economy
Undertake a review of all social welfare payments with a view to standardising payments and reducing differences that currently exist between means-tested and non means-tested rates of entitlements.,Welfare and Quality of Life
setting out how we can better support veterans back into civilian life and help them later in their lives.,Welfare and Quality of Life
"Continuing to support the Canadian Foundation for Innovation to finance research infrastructure on university, college, and polytechnic campuses.",Economy
"This will boost domestic demand for clean technology, support entrepreneurs, and fuel new jobs.",Welfare and Quality of Life
"Rather than building new roads, resources should now be targeted at maintaining the existing network to achieve better value for money and improve road safety.",Economy
We will implement rent controls to ensure affordability of rental housing.,Welfare and Quality of Life
"The National Trade Cadetships will be developed by the Australian Curriculum and Assessment Reporting Authority (ACARA), in partnership with Industry Skills Councils and with States and Territories",Economy
Our Officers of Parliament do important work in helping Canadians.,Freedom and Democracy
10) The EFF shall investigate the introduction of the best and cost effective devices (tablets and laptops) to all learners to address textbooks shortage and access to the modern telecommunications.,Welfare and Quality of Life
"set natural capital targets, including on biodiversity, clean air and water,",Welfare and Quality of Life
We will ensure that religious education provides pupils with an understanding of the major traditions of belief in this country.,Fabric of Society
"By working with teaching unions and staff, we will reduce red tape and bureaucracy so that head-teachers can lead their schools and more time is spent teaching children, rather than doing paperwork.",Welfare and Quality of Life
We will examine the possibilities of legislating to improve access for walkers.,Welfare and Quality of Life
"Federal Labor has established NBN Co Limited, to build and operate a new superfast National Broadband Network (NBN)",Economy
"We will end the rule that discriminates against new workers and those re-entering the workforce by requiring them to accumulate 910 hours of work to qualify for Employment Insurance benefits, including training support.",Welfare and Quality of Life
Dealing with the government should be no exception.,Political System
We need to support this important sector of our economy.,Economy
"and explore deeper trade relationships with emerging and established markets, including China and India.",Economy
"We do not accept the imposition of artificial limits on Wales’s responsibility for its own energy generation, whether that be 50MW as at present or those recommended by the Silk Commission.",Political System
"We will continue to innovate, enabling Local Authorities, Housing Associations and central government alike to build many more homes.",Economy
"Continuing our participation in the International Space Station which will mean new opportunities for Canada's space industry,",External Relations
We will introduce a 50p minimum price per unit on alcohol sales.,Economy
"Whether it is supporting people with the costs of travel to college or apprenticeships,",Welfare and Quality of Life
"ending the discrimination against mental health which has existed for too long,",Welfare and Quality of Life
"all employees in management positions sign performance contracts, making it possible to dismiss those who fail to honour their contractual obligations, while improving the job security of these employees by further professionalizing the public service; and,",Political System
Boosting police recruitment from BAME groups.,Welfare and Quality of Life
Put in place the structures to ensure that small scale financing is accessible to business start-ups.,Economy
"Supporting Canada's military means ensuring that they have the assets, training, and resources needed to do their jobs safely.",External Relations
- Maintain a strong defence at home,External Relations
We will give Training and Enterprise Councils the leading role in forging local partnerships to meet youth training and employment needs.,Political System
COPE is committed to the AU 50/50 gender parity resolution in all public structures.,Welfare and Quality of Life
3) The EFF Government will ensure that the employment of new entrants into the public service is enabled and facilitated through the abolition of the requirement of a 5 years working experience.,Social Groups
"After this initial three-year boost in funding, we will set the renewed Youth Employment Strategy 's funding level at $385 million per year – a $50 million increase from 2015/16.",Economy
The Green Party firmly believes that our current political system has failed the people.,Freedom and Democracy
The deficit is now half what it was when we took office in 2010.,Economy
Our country is full of good hard working people who deserve a government that is truly accountable and committed to serving them and does not tolerate corruption and personal greed.,Political System
"This will provide lower taxes and new incentives to work, while cutting the benefits bill and reducing tax for 99.",Economy
Expand the Exemplar Network into a national network putting Ireland at the cutting edge of connectivity.,Economy
This has brought new stresses which must be addressed.,Fabric of Society
The society has developed a plan to establish a unique national centre of excellence in Vancouver to support world-leading cancer research.,Economy
"We believe that Wales should have a voice at the top table and be directly represented,",Fabric of Society
"We will modernize the National Energy Board, ensuring that its composition reflects regional views",Freedom and Democracy
These reforms will help families make ends meet and help with cost of living pressures,Fabric of Society
including tightening anti-tax haven rules,External Relations
"It is important to isolate these seven aspects, with concrete commitments and programmes underpinning each of these, because confusing and mixing them leaves a void on what needs to be done in other sectors.",Political System
Support good practice among employers in promoting wellbeing and ensure people with mental health problems get the help they need to stay in or find work.,Welfare and Quality of Life
And we've passed a law establishing tougher penalties for criminal gang recruitment.,Fabric of Society
"We have radically overhauled consumer rights law, making it simpler and clearer and for the first time protecting consumers buying digital content.",Economy
"We will strengthen the Duty to Cooperate to help authorities –  like Cambridge, Oxford and Luton – with insufficient space within the Local Authority boundary to meet housing demand to grow, through development on sites beyond the Local Authority boundaries",Economy
The purpose of the Welsh language standards is to ensure that Welsh is not treated less favourably than English and that people have the right to use the language.,Fabric of Society
and provide the collaborative federal leadership that has been missing during the Harper decade.,Political System
The Green Party believes that healthcare services are a human right.,Welfare and Quality of Life
"research and development, and training.",Economy
Commission further data collection on levels and risk of poverty and the development of indicators to measure relative and consistent poverty trends.,Welfare and Quality of Life
"Secured a record £23.9 billion last year from clamping down on tax evasion, avoidance and fraud,",Economy
"Introduce ‘retained’ police officers, fully trained officers available to respond when needed, to increase police presence in rural communities.",Welfare and Quality of Life
and those who currently find it difficult to get a job.,Social Groups
"That's why, this past June, our Government introduced a bill requiring all individuals seeking to become Canadians to show their faces while taking the Oath of Citizenship.",Fabric of Society
- Break open the poverty trap that makes people better off on the dole than in work.,Economy
"And, of course, we'll continue to maintain our Universal Child Care Benefit that provides monthly cheques to all parents, up to nearly $2,000 per year for children under age 6, and more than $700 per year for children aged 6 to 17.",Welfare and Quality of Life
Protection for school budgets,Welfare and Quality of Life
We will introduce a fairer system of charging for water and require water companies to share excess profits with their customers through rebates or investments in environmental improvements.,Welfare and Quality of Life
"We'll launch the Quebec Maritime Prosperity Initiative to fund maritime and port infrastructure – including improvements to facilities for cruise ships and tall ships, such as the Quai Alexandra terminal in Montreal, the Ross Gaudreault terminal in Quebec City, and the restoration of Champlain – Foulon sector promenade.",Economy
Advance Phase 2 and progress planning for Phase 3 of the Western Rail Corridor,Economy
"We will create a new system of unified family courts to decide these questions, after they have heard all the evidence.",Fabric of Society
We will build on our world-leading reforms to the pensions system.,Welfare and Quality of Life
"The Canada Cultural Investment Fund, operated by the Department of Canadian Heritage, helps not-for-profit, professional arts organizations raise money to create or expand endowment funds by matching, up to a dollar for every dollar, amounts raised by private donors.",Welfare and Quality of Life
"Labor will make sure our health system can serve the needs of all Australians, no matter where they live, and irrespective of their income",Welfare and Quality of Life
with fair treatment for the inshore small boat fleet.,Social Groups
We will amend the Criminal Code to reverse onus on bail for those with previous convictions of intimate partner violence.,Fabric of Society
Oversee a comprehensive review of the teaching and learning of Irish at primary and post-primary level both in the Republic and in Northern Ireland.,Fabric of Society
The problem: People know that British politics isn't working.,Political System
The Ceann Comhairle will be given the power to oblige members of the Government to give full and adequate information to the Dáil.,Freedom and Democracy
"Social Credit will adopt a self-reliant policy of Armed Neutrality, providing real security for the nation for the first time since the advent of nuclear deterrence,",External Relations
"We've taken a three-pronged approach, focusing on prevention, treatment, and enforcement.",Fabric of Society
None of the existing political parties is proposing a radical economic transformation model which will change South Africa’s economy for the benefit of all South Africans.,Economy
"We will review the way the Shared Accommodation Rate in Local Housing Allowance is set,",Welfare and Quality of Life
and support legal international action through the International Criminal Court against governments of any countries that commit human rights abuses.,Freedom and Democracy
Taking forward the recently commissioned study by the British Business Bank into the sustainability of Community Development Finance Institutions.,Economy
This represents a projected total additional investment of $27 billion over the next five years.,Welfare and Quality of Life
We'll support it.,Economy
"Initiate a review of the Disability Act 2005 and engage with disabled people, amending it to give more meaningful legal protection of their rights.",Social Groups
produce fuel from wood and crops;,Economy
Reform of the Mortgage Interest Supplement (MIS) scheme.,Economy
"And we'll make life easier for the 1.2 million Canadians who claim home-office expense deductions, 80 percent of whom are self-employed.",Welfare and Quality of Life
"We will continue to support international peace and security operations, as well as humanitarian support missions with the United Nations or regional partners, on a case-by-case basis.",External Relations
creating more jobs across the country.,Social Groups
We will build on our world-leading reforms to the pensions system.,Welfare and Quality of Life
A re-elected Conservative Government will continue to support our three-year partnership with the Canadian Association of Community Living to help connect people with developmental disabilities with jobs.,Social Groups
"adequate mental health support services,",Welfare and Quality of Life
"Our ‘Build 4 Wales’ scheme will allow additional infrastructure spending opportunities for the Welsh Government,",Political System
Trading banks will maintain normal relations with their customers.,Economy
We will widen the use of schemes that require offenders to repay their debt to society and to confront the consequences of their actions.,Fabric of Society
"MySuper builds on the Prime Minister's breakthrough agreement on the mining tax that delivers a major boost to the superannuation of working Australians through a lift in the Superannuation Guarantee, a new low income super contribution, and increased super contribution caps for over 50s",Social Groups
We've expanded the Nahanni National Park Reserve in the Northwest Territories sixfold.,Welfare and Quality of Life
and rapidly expanding the federal fleet of electric vehicles.,Welfare and Quality of Life
We will honour the service of our veterans,Social Groups
"New Zealanders will have a greater say in the running of their own affairs, nationally and locally, and more freedom of choice.",Freedom and Democracy
"As we stand in 2014, the following are concrete realities:",Political System
"We'll also continue to work with the provinces and Canada's financial institutions to improve the administration of the RDSP program,",Political System
organically produce methane:,Economy
The Green Party has a long held vision of a sustainable transport system for Ireland.,Economy
These commitments mean NHS funding in England will be at least £8 billion higher a year in real terms by 2020.,Welfare and Quality of Life
Modernising Medicare by providing rebates for online consultations,Welfare and Quality of Life
"Federal Labor also reformed Employment Services to provide more flexible, intensive support to jobseekers, creating Job Services Australia to provide help people out of work with the skills and contacts necessary to get themselves job ready and get back into work",Social Groups
We have enacted the biggest transfer of fiscal power from Westminster to Scotland in three hundred years.,Political System
"Establish an independent Electoral Commission, building on the work already underway in the Department of the Environment, Heritage and Local Government.",Freedom and Democracy
We will double the budget for Welsh tourism.,Economy
"continuously work at improving the protection of the independence of the judiciary, freedom of the press and the independence of the Reserve Bank;",Freedom and Democracy
"In fact, we've increased the amount spent per veteran by 35 percent – and we'll continue to make investments to improve frontline service for Canadian veterans.",Welfare and Quality of Life
"We will invest $50 million in additional annual funding to the Post-Secondary Student Support Program, which supports Indigenous students attending post-secondary education, ensuring the program will keep up with growing demand.",Welfare and Quality of Life
"The framework we design together will be administered in collaboration with, and in respect of, provincial jurisdictions.",Political System
"New incentives for local schemes that cut transport-related pollution, and encourage walking and cycling.",Welfare and Quality of Life
These could include assisting the funding of pupils at independent schools.,Welfare and Quality of Life
5) The EFF Government will institute a policy of recall of public representatives who do not perform their tasks as per the programme they are assigned to.,Freedom and Democracy
"All South Africans will be judged by the content of their character and contribution, not by the colour of their skins.",Welfare and Quality of Life
Our low-tax pledge is rooted in our record.,Political System
Rates will be related to services enjoyed.,Welfare and Quality of Life
"In Calgary and Southern Alberta, this means investments in flood mitigation projects, to help protect local families and businesses.",Welfare and Quality of Life
"and take action to ensure that Parliament and federal institutions – including the public service, the RCMP, and the Canadian Armed Forces – are workplaces free from harassment and sexual violence.",Fabric of Society
"We support the European Union’s Youth Jobs Guarantee that will provide training or employment to any young person under 25 who is out of work for more than four months,",Social Groups
encouraging Local Authorities to use these platforms to improve credit access in their areas.,Political System
"But too often they find it challenging to pursue their careers here because of difficulties having their professional credentials recognized, leaving them under-employed and unable to maximize both their own potential and their contribution to our country.",Welfare and Quality of Life
- Increase access to the arts.,Welfare and Quality of Life
Budgets 2009 to 2011 saw changes to the income tax system which were aimed at broadening the tax base,Economy
Work to introduce a form of road pricing scheme and ring fence its revenues for cheaper public transport and to maintain the road network.,Economy
Scrap any decisions to subsidise building of private hospitals on public land.,Welfare and Quality of Life
Ensure a fair local schools admissions process.,Welfare and Quality of Life
2) The EFF Government will pass legislation to take all land to the custodianship of the State and all those who occupy and use the land will need to apply for the re-issue of licences to use it for agricultural purposes and other sustainable economic activities.,Economy
